gene,scores,logfoldchanges,pvals,pvals_adj,abs_lfc,aki_biomarker
FOXD3-AS1,0.05819378,20.831451,0.9535942759373879,1.0,20.831451,False
RP11-761N21.1,0.05819378,20.524664,0.9535942759373879,1.0,20.524664,False
AC010524.2,0.05819378,20.463587,0.9535942759373879,1.0,20.463587,False
RP11-297C4.2,0.05819378,22.094221,0.9535942759373879,1.0,22.094221,False
SLC9A5,0.05819378,19.75912,0.9535942759373879,1.0,19.75912,False
RP4-598P13.1,0.05819378,19.414797,0.9535942759373879,1.0,19.414797,False
PACERR,0.05819378,20.606585,0.9535942759373879,1.0,20.606585,False
RP11-399E6.1,0.05819378,21.29716,0.9535942759373879,1.0,21.29716,False
RP4-536B24.3,0.05819378,21.086657,0.9535942759373879,1.0,21.086657,False
CPB1,0.05819378,21.293919,0.9535942759373879,1.0,21.293919,False
RP11-84C10.2,0.05819378,21.900276,0.9535942759373879,1.0,21.900276,False
RP11-67L3.5,0.05819378,21.408436,0.9535942759373879,1.0,21.408436,False
GLRA1,0.05819378,20.214333,0.9535942759373879,1.0,20.214333,False
LINC00159,0.05819378,20.21285,0.9535942759373879,1.0,20.21285,False
RP11-264B17.5,0.05819378,20.005129,0.9535942759373879,1.0,20.005129,False
IGKV1OR-3,0.05819378,20.70486,0.9535942759373879,1.0,20.70486,False
CTC-487M23.7,0.05819378,20.882252,0.9535942759373879,1.0,20.882252,False
CTA-212D2.2,0.05819378,21.6844,0.9535942759373879,1.0,21.6844,False
RP11-324L17.1,0.05819378,20.314962,0.9535942759373879,1.0,20.314962,False
EPPIN,0.05819378,21.08877,0.9535942759373879,1.0,21.08877,False
RP11-62H20.1,0.05819378,20.700693,0.9535942759373879,1.0,20.700693,False
C16orf47,0.05819378,21.165573,0.9535942759373879,1.0,21.165573,False
LRRC9,0.05819378,21.369568,0.9535942759373879,1.0,21.369568,False
FOXD4L3,0.05819378,19.70193,0.9535942759373879,1.0,19.70193,False
AC005609.20,0.05819378,21.353014,0.9535942759373879,1.0,21.353014,False
PCDH8,0.05819378,20.302977,0.9535942759373879,1.0,20.302977,False
RP11-561O23.7,0.05819378,19.70193,0.9535942759373879,1.0,19.70193,False
MMP3,0.05819378,21.005636,0.9535942759373879,1.0,21.005636,False
FAM224B,0.05819378,21.131815,0.9535942759373879,1.0,21.131815,False
TCTE1,0.05819378,21.36672,0.9535942759373879,1.0,21.36672,False
ANKRD20A2,0.05819378,20.555164,0.9535942759373879,1.0,20.555164,False
UCN2,0.05819378,20.455515,0.9535942759373879,1.0,20.455515,False
