gene,importance
TACSTD2,0.21848492265287764
KIAA0101,0.16096882592834252
PTTG1,0.09715733759353576
CDK1,0.06740719127687002
BGN,0.04433776782536356
EHF,0.037597347528084475
MFGE8,0.03658270637472541
PLAC9,0.03303679142352021
BIRC5,0.02994759537115198
PRC1,0.024152598887757355
SGIP1,0.020131486622507085
FRZB,0.017285126637639654
PLAU,0.017195720660227946
PRSS22,0.015123849151007295
MCAM,0.014956565216806108
C11orf96,0.011880807380915641
MYH11,0.011678218935758072
ACPP,0.01132253722998192
IRX2,0.010832715110529467
NDUFA4L2,0.010314646777440952
RP11-544A12.8,0.010058044951983166
SCARA3,0.009963881185972686
SIM2,0.009474373401163376
C2orf40,0.009399212206208308
CCL28,0.008951836256975262
PLN,0.008208796559448596
RERGL,0.007684391873048957
WNT10A,0.007336126679158135
NOTCH3,0.006432679611532318
FILIP1L,0.006167459314545752
MAP1B,0.005023247819218203
PDGFRB,0.004810796989566454
NOV,0.0031418334839315486
COL6A2,0.0022077600910484756
PDE4C,0.001465135171663123
CRISPLD2,0.0014590356832508919
C14orf132,0.0013512882310984698
HSPB7,0.0010013388739408327
CARMN,0.0009773446809044045
LTBP1,0.0008827164321107343
COL1A2,0.0008108553264758447
NEXN,0.0007361026534162671
LGI4,0.000544861644014691
EBF1,0.00039767046686662845
COL1A1,0.00035875446989086155
PDLIM3,0.000311299276124828
NTRK3,0.0002121306957185667
NRGN,0.00011284942927660652
FILIP1,9.918266848539706e-05
COX4I2,2.423528791757583e-05
